file,label,words,chunkCount,judgedChunkCount,probability,verdict,confidence,ai_written,tells,staging,rhythm,inflation,formatting,chat_residue,specifics
02-product-description.txt,ai,251,1,1,1,very_likely_ai,high,0.92,2.69,0.89,0.44,0.96,0.71,0.02,0.03
03-linkedin-post.txt,ai,258,1,1,0.998,very_likely_ai,high,0.88,2.7,0.67,0.23,0.95,0.14,0.02,0.18
05-how-to.txt,ai,259,1,1,0.997,very_likely_ai,high,0.9,1.97,0.83,0.14,0.81,0.24,0.02,0.03
06-travel-blurb.txt,ai,257,1,1,0.999,very_likely_ai,high,0.91,2.54,0.78,0.19,0.97,0.51,0.02,0.06
matched-govweb-grca-learn-nature-200710mtlionkit-htm.txt,ai,312,1,1,0.798,likely_ai,medium,0.86,1.16,0.08,0.11,0.2,0.08,0.03,0.1
matched-gutenberg-essays-first-series-1.txt,ai,295,1,1,0.966,very_likely_ai,high,0.83,1.58,0.47,0.15,0.16,0.09,0.02,0.02
matched-stackexchange-cooking-84325.txt,ai,301,1,1,0.578,unclear,low,0.83,0.56,0.17,0.09,0.07,0.07,0.07,0.03
matched-stackexchange-diy-20876.txt,ai,256,1,1,0.55,unclear,low,0.85,0.57,0.07,0.09,0.08,0.09,0.03,0.03
matched-stackexchange-diy-21461.txt,ai,269,1,1,0.927,very_likely_ai,high,0.9,1.04,0.39,0.1,0.11,0.18,0.97,0.02
matched-stackexchange-parenting-19025.txt,ai,287,1,1,0.963,very_likely_ai,high,0.82,1.67,0.41,0.15,0.12,0.16,0.07,0.03
matched-stackexchange-travel-149371.txt,ai,291,1,1,0.91,very_likely_ai,high,0.84,1.08,0.48,0.11,0.21,0.08,0.86,0.06
matched-stackexchange-workplace-124717.txt,ai,257,1,1,0.945,very_likely_ai,high,0.87,1.15,0.54,0.1,0.15,0.11,0.15,0.07
matched-stackexchange-workplace-145712.txt,ai,265,1,1,0.878,likely_ai,medium,0.85,1.09,0.32,0.14,0.08,0.09,0.06,0.05
matched-wikipedia-fall-of-the-berlin-wall.txt,ai,296,1,1,0.928,very_likely_ai,high,0.87,1.57,0.13,0.1,0.43,0.06,0.02,0.06
matched-wikipedia-glastonbury-festival.txt,ai,279,1,1,0.959,very_likely_ai,high,0.87,1.59,0.32,0.11,0.35,0.08,0.02,0.06
matched-wikipedia-marie-curie.txt,ai,298,1,1,0.971,very_likely_ai,high,0.87,1.71,0.33,0.08,0.25,0.05,0.02,0.03
matched-wikipedia-mount-kilimanjaro.txt,ai,266,1,1,0.937,very_likely_ai,high,0.89,1.48,0.17,0.12,0.31,0.08,0.02,0.04
matched-wikipedia-siemens.txt,ai,297,1,1,0.814,likely_ai,medium,0.9,0.99,0.06,0.07,0.34,0.07,0.02,0.02
matched-wikipedia-tuberculosis.txt,ai,289,1,1,0.651,unclear,low,0.88,0.62,0.09,0.08,0.07,0.07,0.02,0.02
