file,label,chunkId,words,probability,ai_written,tells,staging,rhythm,inflation,formatting,chat_residue,specifics
02-product-description.txt,ai,c0,251,1,0.92,2.69,0.89,0.44,0.96,0.71,0.02,0.03
03-linkedin-post.txt,ai,c0,258,0.998,0.88,2.7,0.67,0.23,0.95,0.14,0.02,0.18
05-how-to.txt,ai,c0,259,0.997,0.9,1.97,0.83,0.14,0.81,0.24,0.02,0.03
06-travel-blurb.txt,ai,c0,257,0.999,0.91,2.54,0.78,0.19,0.97,0.51,0.02,0.06
matched-govweb-grca-learn-nature-200710mtlionkit-htm.txt,ai,c0,312,0.798,0.86,1.16,0.08,0.11,0.2,0.08,0.03,0.1
matched-gutenberg-essays-first-series-1.txt,ai,c0,295,0.966,0.83,1.58,0.47,0.15,0.16,0.09,0.02,0.02
matched-stackexchange-cooking-84325.txt,ai,c0,301,0.578,0.83,0.56,0.17,0.09,0.07,0.07,0.07,0.03
matched-stackexchange-diy-20876.txt,ai,c0,256,0.55,0.85,0.57,0.07,0.09,0.08,0.09,0.03,0.03
matched-stackexchange-diy-21461.txt,ai,c0,269,0.927,0.9,1.04,0.39,0.1,0.11,0.18,0.97,0.02
matched-stackexchange-parenting-19025.txt,ai,c0,287,0.963,0.82,1.67,0.41,0.15,0.12,0.16,0.07,0.03
matched-stackexchange-travel-149371.txt,ai,c0,291,0.91,0.84,1.08,0.48,0.11,0.21,0.08,0.86,0.06
matched-stackexchange-workplace-124717.txt,ai,c0,257,0.945,0.87,1.15,0.54,0.1,0.15,0.11,0.15,0.07
matched-stackexchange-workplace-145712.txt,ai,c0,265,0.878,0.85,1.09,0.32,0.14,0.08,0.09,0.06,0.05
matched-wikipedia-fall-of-the-berlin-wall.txt,ai,c0,296,0.928,0.87,1.57,0.13,0.1,0.43,0.06,0.02,0.06
matched-wikipedia-glastonbury-festival.txt,ai,c0,279,0.959,0.87,1.59,0.32,0.11,0.35,0.08,0.02,0.06
matched-wikipedia-marie-curie.txt,ai,c0,298,0.971,0.87,1.71,0.33,0.08,0.25,0.05,0.02,0.03
matched-wikipedia-mount-kilimanjaro.txt,ai,c0,266,0.937,0.89,1.48,0.17,0.12,0.31,0.08,0.02,0.04
matched-wikipedia-siemens.txt,ai,c0,297,0.814,0.9,0.99,0.06,0.07,0.34,0.07,0.02,0.02
matched-wikipedia-tuberculosis.txt,ai,c0,289,0.651,0.88,0.62,0.09,0.08,0.07,0.07,0.02,0.02
