file,label,chunkId,words,probability,ai_written,tells,staging,rhythm,inflation,formatting,chat_residue,specifics
govweb-grca-learn-nature-200710mtlionkit-htm.txt,human,c0,241,0.01,0.56,0.29,0.12,0.1,0.12,0.07,0.05,0.83
govweb-grca-learn-nature-200710mtlionkit-htm.txt,human,c1,67,0.308,0.77,0.39,0.06,0.1,0.04,0.06,0.03,0.02
gutenberg-essays-1.txt,human,c0,82,0.006,0.09,0.69,0.23,0.18,0.09,0.08,0.02,0.03
gutenberg-essays-1.txt,human,c1,256,0.027,0.12,1.32,0.19,0.54,0.13,0.06,0.02,0.03
gutenberg-essays-2.txt,human,c0,206,0.003,0.09,0.38,0.16,0.16,0.08,0.08,0.02,0.02
gutenberg-essays-2.txt,human,c1,152,0.006,0.09,0.56,0.32,0.18,0.1,0.07,0.02,0.03
gutenberg-essays-first-series-1.txt,human,c0,84,0.131,0.31,0.99,0.59,0.24,0.24,0.11,0.02,0.13
gutenberg-essays-first-series-1.txt,human,c1,264,0.055,0.1,1.46,0.41,0.37,0.3,0.09,0.02,0.04
gutenberg-essays-first-series-1.txt,human,c2,43,0.006,0.07,0.35,0.49,0.1,0.29,0.11,0.02,0.03
gutenberg-essays-first-series-2.txt,human,c0,220,0.02,0.09,1.13,0.32,0.37,0.22,0.07,0.02,0.04
gutenberg-essays-first-series-2.txt,human,c1,85,0.009,0.12,0.66,0.29,0.13,0.13,0.09,0.02,0.03
gutenberg-essays-second-series-1.txt,human,c0,306,0.043,0.12,1.35,0.34,0.24,0.3,0.11,0.02,0.03
gutenberg-essays-second-series-2.txt,human,c0,151,0.012,0.23,0.48,0.27,0.11,0.46,0.08,0.02,0.1
gutenberg-essays-second-series-2.txt,human,c1,181,0.006,0.18,0.52,0.26,0.12,0.16,0.09,0.02,0.26
gutenberg-walking-1.txt,human,c0,185,0.018,0.09,1.25,0.63,0.23,0.17,0.08,0.02,0.54
gutenberg-walking-2.txt,human,c0,285,0.014,0.09,1.65,0.46,0.31,0.42,0.08,0.02,0.79
stackexchange-academia-2221.txt,human,c0,244,0.162,0.5,0.84,0.49,0.13,0.09,0.09,0.03,0.38
stackexchange-academia-2221.txt,human,c1,64,0.033,0.29,1.43,0.37,0.18,0.09,0.11,0.07,0.76
stackexchange-academia-77443.txt,human,c0,168,0.403,0.78,0.37,0.2,0.09,0.06,0.09,0.04,0.03
stackexchange-academia-92903.txt,human,c0,274,0.001,0.11,0.96,0.2,0.14,0.14,0.07,0.05,0.94
stackexchange-academia-92903.txt,human,c1,52,0.002,0.32,0.09,0.09,0.06,0.05,0.11,0.03,0.57
stackexchange-cooking-22409.txt,human,c0,273,0.045,0.36,1.05,0.74,0.11,0.2,0.13,0.11,0.96
stackexchange-cooking-81043.txt,human,c0,248,0.29,0.72,0.45,0.14,0.1,0.07,0.12,0.03,0.04
stackexchange-cooking-84325.txt,human,c0,223,0.389,0.62,0.73,0.35,0.12,0.08,0.1,0.05,0.03
stackexchange-cooking-84325.txt,human,c1,160,0.221,0.46,1.03,0.34,0.22,0.08,0.09,0.22,0.09
stackexchange-diy-20876.txt,human,c0,213,0.266,0.72,0.39,0.16,0.67,0.09,0.07,0.04,0.06
stackexchange-diy-21461.txt,human,c0,260,0.476,0.76,0.6,0.18,0.12,0.07,0.07,0.44,0.02
stackexchange-diy-21461.txt,human,c1,49,0.043,0.56,0.09,0.08,0.09,0.06,0.12,0.03,0.05
stackexchange-diy-71591.txt,human,c0,190,0.043,0.35,0.75,0.3,0.11,0.12,0.08,0.05,0.2
stackexchange-english-329192.txt,human,c0,264,0.251,0.69,0.34,0.25,0.14,0.09,0.14,0.09,0.06
stackexchange-english-329192.txt,human,c1,120,0.044,0.53,0.14,0.13,0.11,0.06,0.11,0.04,0.04
stackexchange-english-342281.txt,human,c0,290,0.165,0.67,0.26,0.17,0.1,0.08,0.13,0.04,0.05
stackexchange-english-342281.txt,human,c1,70,0.061,0.36,0.94,0.31,0.14,0.11,0.14,0.03,0.25
stackexchange-english-395385.txt,human,c0,284,0.393,0.61,0.88,0.51,0.16,0.14,0.15,0.18,0.3
stackexchange-english-395385.txt,human,c1,98,0.015,0.3,0.69,0.55,0.13,0.16,0.14,0.06,0.7
stackexchange-parenting-19025.txt,human,c0,243,0.06,0.46,0.57,0.28,0.15,0.1,0.12,0.09,0.23
stackexchange-parenting-19025.txt,human,c1,86,0.5,0.47,1.37,0.49,0.41,0.1,0.12,0.06,0.08
stackexchange-parenting-32424.txt,human,c0,320,0.171,0.59,0.53,0.32,0.09,0.08,0.1,0.06,0.18
stackexchange-travel-149371.txt,human,c0,293,0.25,0.58,0.96,0.27,0.24,0.15,0.09,0.07,0.26
stackexchange-travel-149371.txt,human,c1,72,0.212,0.65,0.43,0.27,0.11,0.09,0.15,0.17,0.12
stackexchange-travel-20208.txt,human,c0,275,0.752,0.72,1.06,0.44,0.13,0.25,0.12,0.22,0.1
stackexchange-travel-20208.txt,human,c1,45,0.163,0.75,0.07,0.07,0.07,0.07,0.08,0.03,0.03
stackexchange-travel-38180.txt,human,c0,229,0.102,0.57,0.35,0.22,0.13,0.06,0.09,0.05,0.09
stackexchange-workplace-124717.txt,human,c0,198,0.57,0.54,1.42,0.72,0.16,0.56,0.1,0.13,0.49
stackexchange-workplace-145712.txt,human,c0,212,0.237,0.46,0.74,0.59,0.14,0.09,0.09,0.06,0.1
stackexchange-workplace-145712.txt,human,c1,135,0.325,0.5,0.97,0.43,0.14,0.08,0.1,0.04,0.06
stackexchange-workplace-93717.txt,human,c0,254,0.096,0.33,0.82,0.68,0.14,0.13,0.07,0.12,0.29
stackexchange-workplace-93717.txt,human,c1,111,0.561,0.67,0.86,0.37,0.25,0.09,0.1,0.13,0.04
wikipedia-bologna.txt,human,c0,278,0.199,0.7,0.46,0.05,0.08,0.18,0.07,0.02,0.08
wikipedia-cricket.txt,human,c0,260,0.292,0.81,0.23,0.05,0.1,0.04,0.08,0.02,0.03
wikipedia-fall-of-the-berlin-wall.txt,human,c0,290,0.495,0.7,1.06,0.07,0.09,0.31,0.09,0.02,0.06
wikipedia-fall-of-the-berlin-wall.txt,human,c1,109,0.044,0.62,0.17,0.09,0.07,0.08,0.09,0.02,0.3
wikipedia-ganges.txt,human,c0,244,0.446,0.7,0.87,0.14,0.1,0.17,0.07,0.02,0.06
wikipedia-ganges.txt,human,c1,125,0.539,0.72,0.96,0.14,0.12,0.38,0.08,0.03,0.05
wikipedia-glastonbury-festival.txt,human,c0,291,0.146,0.67,0.39,0.07,0.12,0.14,0.08,0.02,0.1
wikipedia-glastonbury-festival.txt,human,c1,72,0.074,0.62,0.21,0.05,0.1,0.08,0.08,0.02,0.07
wikipedia-golden-gate-bridge.txt,human,c0,210,0.443,0.77,0.7,0.07,0.2,0.2,0.08,0.02,0.06
wikipedia-golden-gate-bridge.txt,human,c1,101,0.095,0.66,0.21,0.07,0.08,0.11,0.08,0.03,0.11
wikipedia-kyoto.txt,human,c0,231,0.407,0.84,0.36,0.05,0.09,0.16,0.07,0.02,0.03
wikipedia-kyoto.txt,human,c1,125,0.094,0.67,0.1,0.05,0.08,0.05,0.07,0.02,0.03
wikipedia-marie-curie.txt,human,c0,280,0.33,0.72,0.65,0.05,0.12,0.08,0.06,0.02,0.03
wikipedia-marie-curie.txt,human,c1,88,0.102,0.7,0.08,0.04,0.07,0.05,0.08,0.02,0.06
wikipedia-mount-kilimanjaro.txt,human,c0,266,0.348,0.77,0.61,0.05,0.14,0.08,0.07,0.03,0.12
wikipedia-nikola-tesla.txt,human,c0,188,0.197,0.68,0.47,0.05,0.09,0.1,0.08,0.02,0.03
wikipedia-nikola-tesla.txt,human,c1,140,0.309,0.77,0.44,0.06,0.11,0.11,0.09,0.02,0.06
wikipedia-office-for-national-statistics.txt,human,c0,203,0.079,0.66,0.07,0.04,0.08,0.08,0.07,0.02,0.04
wikipedia-office-for-national-statistics.txt,human,c1,133,0.145,0.7,0.22,0.05,0.09,0.11,0.07,0.02,0.03
wikipedia-poutine.txt,human,c0,200,0.593,0.79,0.86,0.1,0.12,0.23,0.08,0.02,0.05
wikipedia-poutine.txt,human,c1,130,0.049,0.57,0.33,0.07,0.11,0.07,0.09,0.03,0.21
wikipedia-radiohead.txt,human,c0,295,0.522,0.81,0.68,0.06,0.12,0.15,0.08,0.02,0.03
wikipedia-radiohead.txt,human,c1,45,0.258,0.79,0.25,0.04,0.08,0.08,0.1,0.02,0.04
wikipedia-siemens.txt,human,c0,276,0.197,0.76,0.23,0.05,0.09,0.13,0.08,0.02,0.08
wikipedia-siemens.txt,human,c1,101,0.2,0.78,0.13,0.04,0.07,0.07,0.08,0.02,0.04
wikipedia-tuberculosis.txt,human,c0,247,0.408,0.85,0.3,0.06,0.08,0.04,0.06,0.02,0.02
wikipedia-tuberculosis.txt,human,c1,125,0.114,0.72,0.04,0.04,0.05,0.06,0.08,0.02,0.04
01-blog-intro.txt,ai,c0,235,1,0.92,2.63,0.95,0.27,0.93,0.12,0.03,0.03
02-product-description.txt,ai,c0,254,0.999,0.92,2.64,0.89,0.38,0.97,0.82,0.02,0.03
03-linkedin-post.txt,ai,c0,261,0.998,0.89,2.67,0.62,0.23,0.95,0.21,0.02,0.2
04-encyclopedia-paragraph.txt,ai,c0,257,0.991,0.92,2.36,0.13,0.16,0.91,0.06,0.02,0.02
05-how-to.txt,ai,c0,260,0.997,0.89,1.98,0.83,0.15,0.82,0.37,0.03,0.03
06-travel-blurb.txt,ai,c0,260,0.999,0.91,2.49,0.77,0.17,0.97,0.68,0.02,0.06
07-email-chat-residue.txt,ai,c0,239,0.9,0.92,1.05,0.13,0.13,0.08,0.08,0.99,0.31
08-opinion-piece.txt,ai,c0,277,0.999,0.9,2.44,0.75,0.19,0.91,0.07,0.02,0.02
matched-govweb-grca-learn-nature-200710mtlionkit-htm.txt,ai,c0,319,0.775,0.86,1.12,0.07,0.14,0.18,0.1,0.02,0.11
matched-gutenberg-essays-1.txt,ai,c0,282,0.925,0.82,1.48,0.28,0.18,0.08,0.06,0.02,0.02
matched-gutenberg-essays-first-series-1.txt,ai,c0,295,0.967,0.82,1.59,0.5,0.15,0.17,0.11,0.02,0.02
matched-gutenberg-essays-second-series-1.txt,ai,c0,278,0.97,0.84,1.53,0.52,0.15,0.15,0.06,0.02,0.02
matched-gutenberg-walking-1.txt,ai,c0,265,0.695,0.58,1.42,0.65,0.25,0.17,0.1,0.02,0.32
matched-stackexchange-academia-2221.txt,ai,c0,272,0.877,0.82,1.16,0.34,0.13,0.11,0.07,0.06,0.04
matched-stackexchange-academia-77443.txt,ai,c0,199,0.245,0.55,0.67,0.36,0.11,0.05,0.1,0.04,0.04
matched-stackexchange-academia-92903.txt,ai,c0,289,0.442,0.74,0.89,0.16,0.1,0.11,0.06,0.03,0.23
matched-stackexchange-cooking-22409.txt,ai,c0,283,0.579,0.82,0.9,0.18,0.16,0.1,0.07,0.14,0.29
matched-stackexchange-cooking-81043.txt,ai,c0,275,0.347,0.59,0.59,0.48,0.1,0.08,0.1,0.04,0.04
matched-stackexchange-cooking-84325.txt,ai,c0,301,0.619,0.83,0.6,0.2,0.09,0.07,0.1,0.06,0.03
matched-stackexchange-diy-20876.txt,ai,c0,261,0.568,0.87,0.53,0.07,0.12,0.07,0.53,0.03,0.03
matched-stackexchange-diy-21461.txt,ai,c0,273,0.911,0.9,0.98,0.36,0.09,0.1,0.34,0.97,0.02
matched-stackexchange-diy-71591.txt,ai,c0,261,0.638,0.78,0.81,0.22,0.07,0.08,0.08,0.06,0.04
matched-stackexchange-english-329192.txt,ai,c0,289,0.719,0.73,0.62,0.62,0.14,0.12,0.09,0.05,0.04
matched-stackexchange-english-342281.txt,ai,c0,275,0.649,0.84,0.55,0.28,0.07,0.08,0.08,0.03,0.06
matched-stackexchange-english-395385.txt,ai,c0,264,0.713,0.85,0.8,0.2,0.12,0.15,0.09,0.09,0.09
matched-stackexchange-parenting-19025.txt,ai,c0,290,0.966,0.82,1.74,0.38,0.19,0.13,0.17,0.07,0.03
matched-stackexchange-parenting-32424.txt,ai,c0,289,0.88,0.86,1.12,0.41,0.13,0.11,0.09,0.14,0.2
matched-stackexchange-travel-149371.txt,ai,c0,291,0.92,0.85,1.12,0.46,0.11,0.21,0.15,0.87,0.05
matched-stackexchange-travel-20208.txt,ai,c0,281,0.966,0.88,1.35,0.51,0.1,0.12,0.07,0.04,0.03
matched-stackexchange-travel-38180.txt,ai,c0,295,0.692,0.87,0.55,0.24,0.09,0.05,0.09,0.06,0.03
matched-stackexchange-workplace-124717.txt,ai,c0,260,0.95,0.88,1.21,0.5,0.14,0.16,0.1,0.13,0.07
matched-stackexchange-workplace-145712.txt,ai,c0,268,0.894,0.86,1.09,0.34,0.17,0.09,0.12,0.06,0.04
matched-stackexchange-workplace-93717.txt,ai,c0,289,0.72,0.53,1.14,0.82,0.13,0.07,0.06,0.07,0.08
matched-wikipedia-bologna.txt,ai,c0,272,0.787,0.9,0.88,0.09,0.07,0.2,0.06,0.02,0.03
matched-wikipedia-cricket.txt,ai,c0,290,0.653,0.9,0.59,0.06,0.1,0.19,0.08,0.02,0.02
matched-wikipedia-fall-of-the-berlin-wall.txt,ai,c0,296,0.935,0.87,1.59,0.14,0.09,0.43,0.13,0.02,0.05
matched-wikipedia-ganges.txt,ai,c0,300,0.966,0.89,1.48,0.38,0.07,0.28,0.08,0.02,0.03
matched-wikipedia-glastonbury-festival.txt,ai,c0,279,0.941,0.87,1.5,0.26,0.11,0.36,0.18,0.02,0.07
matched-wikipedia-golden-gate-bridge.txt,ai,c0,282,0.827,0.88,1.13,0.06,0.08,0.2,0.07,0.02,0.04
matched-wikipedia-kyoto.txt,ai,c0,271,0.798,0.9,0.94,0.07,0.08,0.22,0.07,0.02,0.03
matched-wikipedia-marie-curie.txt,ai,c0,298,0.973,0.87,1.72,0.36,0.07,0.26,0.09,0.02,0.04
matched-wikipedia-mount-kilimanjaro.txt,ai,c0,266,0.942,0.9,1.47,0.17,0.11,0.32,0.18,0.02,0.03
matched-wikipedia-nikola-tesla.txt,ai,c0,295,0.846,0.89,1.11,0.08,0.07,0.15,0.07,0.02,0.02
matched-wikipedia-office-for-national-statistics.txt,ai,c0,281,0.712,0.89,0.77,0.06,0.08,0.13,0.06,0.02,0.03
matched-wikipedia-poutine.txt,ai,c0,295,0.328,0.54,1.14,0.24,0.09,0.15,0.09,0.03,0.1
matched-wikipedia-radiohead.txt,ai,c0,295,0.694,0.65,1.33,0.28,0.09,0.19,0.09,0.03,0.04
matched-wikipedia-siemens.txt,ai,c0,297,0.804,0.9,0.96,0.06,0.07,0.33,0.12,0.02,0.02
matched-wikipedia-tuberculosis.txt,ai,c0,289,0.684,0.88,0.69,0.09,0.08,0.07,0.1,0.02,0.02
